tau,sigma,tau_after,sigma_after,switch_cycle,cycle,s1_mean,s1_std,s2_mean,s2_std
0.1,0.05,0.0,0.0,,0,0.518027963944004,0.00038837776891308373,0.4819720360559959,0.00038837776891310476
0.1,0.05,0.0,0.0,,1,0.5392269215460032,0.0003774853897716106,0.46077307845399684,0.00037748538977158653
0.1,0.05,0.0,0.0,,2,0.6413457173080006,0.0024657017570807013,0.35865428269199945,0.002465701757080721
0.1,0.05,0.0,0.0,,3,0.7096125807739999,0.0032893208201975554,0.29038741922600003,0.0032893208201975536
0.1,0.05,0.0,0.0,,4,0.7549204901579996,0.003449896073658189,0.2450795098420004,0.0034498960736581985
0.1,0.05,0.0,0.0,,5,0.7869054261879994,0.003425624707872707,0.21309457381200053,0.0034256247078726845
0.1,0.05,0.0,0.0,,6,0.8104433791119992,0.003343761121074065,0.1895566208880008,0.0033437611210740633
0.1,0.05,0.0,0.0,,7,0.8285633428719992,0.003236402193070203,0.1714366571280008,0.0032364021930702167
0.1,0.05,0.0,0.0,,8,0.8427563144859992,0.0030911443444361936,0.15724368551400075,0.003091144344436189
0.1,0.05,0.0,0.0,,9,0.8542572914839994,0.0029280788420590854,0.1457427085160006,0.002928078842059091
0.1,0.05,0.0,0.0,,10,0.8635042729899995,0.002821116754771528,0.13649572701000046,0.002821116754771522
0.1,0.05,0.0,0.0,,11,0.8621622756739995,0.005528210414480339,0.1378377243260004,0.005528210414480336
0.1,0.05,0.0,0.0,,12,0.8584612830759994,0.00566313230507813,0.1415387169240005,0.0056631323050781186
0.1,0.05,0.0,0.0,,13,0.8546742906499993,0.005570618134354563,0.1453257093500006,0.005570618134354537
0.1,0.05,0.0,0.0,,14,0.8508092983799994,0.005765104983858602,0.1491907016200006,0.005765104983858609
0.1,0.05,0.0,0.0,,15,0.846865306267999,0.005741057921268195,0.15313469373200078,0.00574105792126818
0.1,0.05,0.0,0.0,,16,0.842952314093999,0.005761586482474531,0.1570476859060009,0.0057615864824745264
0.1,0.05,0.0,0.0,,17,0.838929322139999,0.0058518382062366205,0.1610706778600009,0.005851838206236637
0.1,0.05,0.0,0.0,,18,0.8348963302059991,0.00589499689262452,0.16510366979400082,0.005894996892624508
0.1,0.05,0.0,0.0,,19,0.8308883382219993,0.005897821794104181,0.1691116617780008,0.005897821794104154
0.1,0.05,0.0,0.0,,20,0.826777346443999,0.005983093722660691,0.17322265355600094,0.005983093722660678
0.1,0.05,0.0,0.0,,21,0.8227603544779992,0.005983085189873863,0.17723964552200075,0.005983085189873848
0.1,0.05,0.0,0.0,,22,0.8186783626419993,0.005989868873108507,0.1813216373580007,0.005989868873108512
0.1,0.05,0.0,0.0,,23,0.8144953710079992,0.005916105671313288,0.18550462899200074,0.0059161056713132815
0.1,0.05,0.0,0.0,,24,0.8089133821719992,0.005486623888397531,0.1910866178280007,0.005486623888397524
0.1,0.05,0.0,0.0,,25,0.8006063987859993,0.011923554342384936,0.1993936012140007,0.01192355434238495
0.1,0.05,0.0,0.0,,26,0.7863304273379994,0.021349702991093004,0.2136695726620005,0.021349702991093
0.1,0.05,0.0,0.0,,27,0.7676144647699993,0.02561975760555432,0.2323855352300007,0.025619757605554322
0.1,0.05,0.0,0.0,,28,0.7445125109739995,0.01889406964742411,0.2554874890260005,0.018894069647424128
0.1,0.05,0.0,0.0,,29,0.7294215411559998,0.011405750241928414,0.2705784588440002,0.011405750241928398
0.1,0.05,0.0,0.0,,30,0.7253575492839996,0.011467312643533466,0.27464245071600024,0.011467312643533446
0.1,0.05,0.0,0.0,,31,0.7225615548759997,0.011233832192482527,0.2774384451240003,0.0112338321924825
0.1,0.05,0.0,0.0,,32,0.7199635600719998,0.010891861432647433,0.2800364399280002,0.010891861432647431
0.1,0.05,0.0,0.0,,33,0.7175675648639998,0.010578100057897959,0.2824324351360002,0.010578100057897964
0.1,0.05,0.0,0.0,,34,0.7151475697039998,0.01029963171981429,0.28485243029600016,0.01029963171981427
0.1,0.05,0.0,0.0,,35,0.7129725740539998,0.01008043779651712,0.28702742594600017,0.010080437796517119
0.1,0.05,0.0,0.0,,36,0.7108385783219997,0.009695827738853096,0.2891614216780002,0.009695827738853096
0.1,0.05,0.0,0.0,,37,0.7089295821399999,0.009359321114089658,0.29107041786000015,0.009359321114089679
0.1,0.05,0.0,0.0,,38,0.7070415859159999,0.009016836126550057,0.2929584140840001,0.009016836126550042
0.1,0.05,0.0,0.0,,39,0.7052375895239998,0.008710450328907318,0.29476241047600016,0.008710450328907346
0.1,0.05,0.0,0.0,,40,0.70348459303,0.008390393471993409,0.29651540697,0.008390393471993444
0.1,0.05,0.0,0.0,,41,0.701875596248,0.00809983850983869,0.298124403752,0.008099838509838687
0.1,0.05,0.0,0.0,,42,0.700313599372,0.00778612352905205,0.29968640062799995,0.007786123529052015
0.1,0.05,0.0,0.0,,43,0.6988206023579999,0.007455617999846691,0.301179397642,0.007455617999846697
0.1,0.05,0.0,0.0,,44,0.6973976052040001,0.007222671743953287,0.302602394796,0.00722267174395328
0.1,0.05,0.0,0.0,,45,0.696075607848,0.006973386945159103,0.30392439215199996,0.006973386945159105
0.1,0.05,0.0,0.0,,46,0.694736610526,0.006724631796684336,0.30526338947399995,0.0067246317966843105
0.1,0.05,0.0,0.0,,47,0.6934896130199999,0.006468868035994795,0.30651038698000016,0.006468868035994841
0.1,0.05,0.0,0.0,,48,0.6923736152519998,0.006248979336494038,0.30762638474800014,0.006248979336494033
0.1,0.05,0.0,0.0,,49,0.6911786176419998,0.006045577775996696,0.3088213823580001,0.0060455777759966835
0.1,0.05,0.0,0.0,,50,0.690048619902,0.005849599983795118,0.309951380098,0.005849599983795144
0.1,0.05,0.0,0.0,,51,0.689022621954,0.005631816615741806,0.310977378046,0.00563181661574181
0.1,0.05,0.0,0.0,,52,0.6880846238299999,0.00548470415535079,0.3119153761700001,0.005484704155350759
