run_id,seed,households,cycles,tau,sigma,switch_cycle,tau_after,sigma_after,post_window,tipping_point,s_base_mean,s_post_mean,H_delta,rho,gamma,delta
20251230-121031_seed1_N500_T130_tau0.1_sig0.05_sc90_tauA0.0_sigA0.0,1,500,130,0.1,0.05,90,0.0,0.0,20,3,0.5409999180000026,0.5352189295620033,-0.005780988437999235,0.2,0.5,0.7
20251230-121130_seed2_N500_T130_tau0.1_sig0.05_sc90_tauA0.0_sigA0.0,2,500,130,0.1,0.05,90,0.0,0.0,20,3,0.5413399173200026,0.5383849232300034,-0.002954994089999219,0.2,0.5,0.7
20251230-121228_seed3_N500_T130_tau0.1_sig0.05_sc90_tauA0.0_sigA0.0,3,500,130,0.1,0.05,90,0.0,0.0,20,3,0.5412999174000034,0.5361349277300038,-0.0051649896699995645,0.2,0.5,0.7
20251230-121327_seed4_N500_T130_tau0.1_sig0.05_sc90_tauA0.0_sigA0.0,4,500,130,0.1,0.05,90,0.0,0.0,20,3,0.5412999174000024,0.5384819230360034,-0.002817994363998988,0.2,0.5,0.7
20251230-121425_seed5_N500_T130_tau0.1_sig0.05_sc90_tauA0.0_sigA0.0,5,500,130,0.1,0.05,90,0.0,0.0,20,3,0.541259917480003,0.5429579140840025,0.0016979966039994965,0.2,0.5,0.7
20251230-121522_seed6_N500_T130_tau0.1_sig0.05_sc90_tauA0.0_sigA0.0,6,500,130,0.1,0.05,90,0.0,0.0,20,3,0.5409599180800033,0.541599916800003,0.000639998719999646,0.2,0.5,0.7
20251230-121620_seed7_N500_T130_tau0.1_sig0.05_sc90_tauA0.0_sigA0.0,7,500,130,0.1,0.05,90,0.0,0.0,20,3,0.5407799184400031,0.5362319275360032,-0.004547990903999821,0.2,0.5,0.7
20251230-121718_seed8_N500_T130_tau0.1_sig0.05_sc90_tauA0.0_sigA0.0,8,500,130,0.1,0.05,90,0.0,0.0,20,3,0.5412399175200029,0.5377469245060037,-0.0034929930139991905,0.2,0.5,0.7
20251230-121816_seed9_N500_T130_tau0.1_sig0.05_sc90_tauA0.0_sigA0.0,9,500,130,0.1,0.05,90,0.0,0.0,20,3,0.540839918320003,0.5415129169740031,0.0006729986540000565,0.2,0.5,0.7
20251230-121914_seed10_N500_T130_tau0.1_sig0.05_sc90_tauA0.0_sigA0.0,10,500,130,0.1,0.05,90,0.0,0.0,20,3,0.5417999164000025,0.5405439189120032,-0.0012559974879993163,0.2,0.5,0.7
20251230-122012_seed11_N500_T130_tau0.1_sig0.05_sc90_tauA0.0_sigA0.0,11,500,130,0.1,0.05,90,0.0,0.0,20,3,0.5414399171200024,0.5395109209780028,-0.001928996141999595,0.2,0.5,0.7
20251230-122110_seed12_N500_T130_tau0.1_sig0.05_sc90_tauA0.0_sigA0.0,12,500,130,0.1,0.05,90,0.0,0.0,20,3,0.5416199167600025,0.5423229153540026,0.0007029985940000261,0.2,0.5,0.7
20251230-122208_seed13_N500_T130_tau0.1_sig0.05_sc90_tauA0.0_sigA0.0,13,500,130,0.1,0.05,90,0.0,0.0,20,3,0.5416399167200023,0.5340949318100038,-0.007544984909998553,0.2,0.5,0.7
20251230-122306_seed14_N500_T130_tau0.1_sig0.05_sc90_tauA0.0_sigA0.0,14,500,130,0.1,0.05,90,0.0,0.0,20,3,0.5406599186800032,0.5391259217480032,-0.0015339969319999591,0.2,0.5,0.7
20251230-122404_seed15_N500_T130_tau0.1_sig0.05_sc90_tauA0.0_sigA0.0,15,500,130,0.1,0.05,90,0.0,0.0,20,3,0.5411799176400025,0.5402739194520025,-0.0009059981879999679,0.2,0.5,0.7
20251230-124401_seed16_N500_T130_tau0.1_sig0.05_sc90_tauA0.0_sigA0.0,16,500,130,0.1,0.05,90,0.0,0.0,20,3,0.5411199177600026,0.5389489221020025,-0.0021709956580000522,0.2,0.5,0.7
20251230-124500_seed17_N500_T130_tau0.1_sig0.05_sc90_tauA0.0_sigA0.0,17,500,130,0.1,0.05,90,0.0,0.0,20,3,0.5412999174000023,0.542187915624002,0.0008879982239997641,0.2,0.5,0.7
20251230-124558_seed18_N500_T130_tau0.1_sig0.05_sc90_tauA0.0_sigA0.0,18,500,130,0.1,0.05,90,0.0,0.0,20,3,0.540139919720003,0.5401609196780026,2.0999957999645602e-05,0.2,0.5,0.7
20251230-124658_seed19_N500_T130_tau0.1_sig0.05_sc90_tauA0.0_sigA0.0,19,500,130,0.1,0.05,90,0.0,0.0,20,3,0.5407799184400025,0.5275869448260038,-0.013192973613998737,0.2,0.5,0.7
20251230-124757_seed20_N500_T130_tau0.1_sig0.05_sc90_tauA0.0_sigA0.0,20,500,130,0.1,0.05,90,0.0,0.0,20,3,0.5411999176000031,0.5355449289100004,-0.0056549886900026936,0.2,0.5,0.7
