run_id,cycle,tau_t,sigma_t,switch_cycle,tau,sigma,tau_after,sigma_after,s1,s2,peer_signal,price_1,markup_1,unit_cost_1,quantity_1,profit_1,elasticity_1,price_2,markup_2,unit_cost_2,quantity_2,profit_2,elasticity_2
20251224-074841_seed1_N500_T100_tau0.1_sig0.05_sc90_tauA0.0_sigA0.0,0,0.1,0.05,90,0.1,0.05,0.0,0.0,0.5180599638800041,0.481940036119996,0.5180599638800041,1.0945,0.1,0.995,259.029981940002,,,1.1605,0.1,1.055,240.97001805999798,,
20251224-074841_seed1_N500_T100_tau0.1_sig0.05_sc90_tauA0.0_sigA0.0,1,0.1,0.05,90,0.1,0.05,0.0,0.0,0.5393999212000028,0.46060007879999715,0.5393999212000028,1.096579758972503,0.1020902100226161,0.995,269.6999606000014,,8.05197728142209,2.157474999999999,1.0449999999999993,1.055,230.30003939999858,,0.845946387531354
20251224-074841_seed1_N500_T100_tau0.1_sig0.05_sc90_tauA0.0_sigA0.0,2,0.1,0.05,90,0.1,0.05,0.0,0.0,0.6421797156400004,0.35782028435999963,0.6421797156400004,1.0920496394999157,0.09753732613056844,0.995,321.0898578200002,,91.64102270755956,3.104601249999998,1.9427499999999984,1.055,178.9101421799998,,0.41794598688025514
20251224-074841_seed1_N500_T100_tau0.1_sig0.05_sc90_tauA0.0_sigA0.0,3,0.1,0.05,90,0.1,0.05,0.0,0.0,0.7112595774800003,0.2887404225199997,0.7112595774800003,1.0892999524391853,0.09477382154691988,0.995,355.62978874000015,,24.658988169741903,4.004371187499998,2.7956124999999976,1.055,144.37021125999985,,0.5935966152615615
20251224-074841_seed1_N500_T100_tau0.1_sig0.05_sc90_tauA0.0_sigA0.0,4,0.1,0.05,90,0.1,0.05,0.0,0.0,0.7574194851599988,0.24258051484000123,0.7574194851599988,1.0866636471821927,0.09212426852481664,0.995,378.7097425799994,,24.933315404658508,4.8591526281249955,3.6058318749999967,1.055,121.29025742000061,,0.6864096067028469
20251224-074841_seed1_N500_T100_tau0.1_sig0.05_sc90_tauA0.0_sigA0.0,5,0.1,0.05,90,0.1,0.05,0.0,0.0,0.7895594208799998,0.21044057912000028,0.7895594208799998,1.0851613186036262,0.09061439055640831,0.995,394.77971043999986,,17.148121119602806,5.671194996718745,4.375540281249996,1.055,105.22028956000014,,0.7356613017578655
20251224-074841_seed1_N500_T100_tau0.1_sig0.05_sc90_tauA0.0_sigA0.0,6,0.1,0.05,90,0.1,0.05,0.0,0.0,0.8134593730799992,0.1865406269200008,0.8134593730799992,1.0830737620331965,0.08851634375195637,0.995,406.7296865399996,,21.55352514939452,6.442635246882807,5.106763267187495,1.055,93.27031346000041,,0.7807124489006447
20251224-074841_seed1_N500_T100_tau0.1_sig0.05_sc90_tauA0.0_sigA0.0,7,0.1,0.05,90,0.1,0.05,0.0,0.0,0.8314193371599992,0.16858066284000087,0.8314193371599992,1.0834811622176488,0.08892579117351647,0.995,415.7096685799996,,11.340695709868843,7.175503484538666,5.8014251038281195,1.055,84.29033142000043,,0.7941598799805089
20251224-074841_seed1_N500_T100_tau0.1_sig0.05_sc90_tauA0.0_sigA0.0,8,0.1,0.05,90,0.1,0.05,0.0,0.0,0.8454793090399985,0.1545206909600015,0.8454793090399985,1.080198451441168,0.08562658436298289,0.995,422.73965451999925,,44.588834441959314,7.871728310311732,6.461353848636713,1.055,77.26034548000075,,0.8086070595546082
20251224-074841_seed1_N500_T100_tau0.1_sig0.05_sc90_tauA0.0_sigA0.0,9,0.1,0.05,90,0.1,0.05,0.0,0.0,0.8569192861599992,0.14308071384000073,0.8569192861599992,1.0904463313147077,0.09592596112030909,0.995,428.45964307999964,,4.429189237071213,8.533141894796145,7.088286156204876,1.055,71.54035692000036,,0.8308015246898753
20251224-074841_seed1_N500_T100_tau0.1_sig0.05_sc90_tauA0.0_sigA0.0,10,0.1,0.05,90,0.1,0.05,0.0,0.0,0.8659792680399996,0.1340207319600004,0.8659792680399996,1.5226953583286247,0.5303470937976126,0.995,432.9896340199998,,1.1138388335738858,9.161484800056336,7.683871848394631,1.055,67.01036598000019,,0.8109390715225516
20251224-074841_seed1_N500_T100_tau0.1_sig0.05_sc90_tauA0.0_sigA0.0,11,0.1,0.05,90,0.1,0.05,0.0,0.0,0.8687792624399996,0.13122073756000044,0.8687792624399996,2.4415605904121924,1.453829739107731,0.995,434.3896312199998,,0.2,9.758410560053516,8.249678255974898,1.055,65.61036878000021,,0.29727639540882367
20251224-074841_seed1_N500_T100_tau0.1_sig0.05_sc90_tauA0.0_sigA0.0,12,0.1,0.05,90,0.1,0.05,0.0,0.0,0.8651392697199999,0.1348607302800001,0.8651392697199999,3.314482560891582,2.3311382521523436,0.995,432.56963485999995,,0.2,10.32549003205084,8.787194343176152,1.055,67.43036514000005,,0.4335950309430758
20251224-074841_seed1_N500_T100_tau0.1_sig0.05_sc90_tauA0.0_sigA0.0,13,0.1,0.05,90,0.1,0.05,0.0,0.0,0.8613792772399992,0.13862072276000084,0.8613792772399992,4.143758432847002,3.1645813395447258,0.995,430.6896386199996,,0.2,10.864215530448297,9.297834626017343,1.055,69.31036138000042,,0.48692630226456046
20251224-074841_seed1_N500_T100_tau0.1_sig0.05_sc90_tauA0.0_sigA0.0,14,0.1,0.05,90,0.1,0.05,0.0,0.0,0.8574392851199991,0.14256071488000088,0.8574392851199991,4.931570511204651,3.9563522725674884,0.995,428.71964255999956,,0.2,11.376004753925882,9.782942894716475,1.055,71.28035744000044,,0.5511452852843906
