tau,sigma,tau_after,sigma_after,switch_cycle,cycle,s1_mean,s1_std,s2_mean,s2_std
0.1,0.05,0.0,0.0,60,0,0.518027963944004,0.00038837776891308373,0.4819720360559959,0.00038837776891310476
0.1,0.05,0.0,0.0,60,1,0.5392269215460032,0.0003774853897716106,0.46077307845399684,0.00037748538977158653
0.1,0.05,0.0,0.0,60,2,0.6413457173080006,0.0024657017570807013,0.35865428269199945,0.002465701757080721
0.1,0.05,0.0,0.0,60,3,0.7096125807739999,0.0032893208201975554,0.29038741922600003,0.0032893208201975536
0.1,0.05,0.0,0.0,60,4,0.7549204901579996,0.003449896073658189,0.2450795098420004,0.0034498960736581985
0.1,0.05,0.0,0.0,60,5,0.7869054261879994,0.003425624707872707,0.21309457381200053,0.0034256247078726845
0.1,0.05,0.0,0.0,60,6,0.8104433791119992,0.003343761121074065,0.1895566208880008,0.0033437611210740633
0.1,0.05,0.0,0.0,60,7,0.8285633428719992,0.003236402193070203,0.1714366571280008,0.0032364021930702167
0.1,0.05,0.0,0.0,60,8,0.8427563144859992,0.0030911443444361936,0.15724368551400075,0.003091144344436189
0.1,0.05,0.0,0.0,60,9,0.8542572914839994,0.0029280788420590854,0.1457427085160006,0.002928078842059091
0.1,0.05,0.0,0.0,60,10,0.8635042729899995,0.002821116754771528,0.13649572701000046,0.002821116754771522
0.1,0.05,0.0,0.0,60,11,0.8621622756739995,0.005528210414480339,0.1378377243260004,0.005528210414480336
0.1,0.05,0.0,0.0,60,12,0.8584612830759994,0.00566313230507813,0.1415387169240005,0.0056631323050781186
0.1,0.05,0.0,0.0,60,13,0.8546742906499993,0.005570618134354563,0.1453257093500006,0.005570618134354537
0.1,0.05,0.0,0.0,60,14,0.8508092983799994,0.005765104983858602,0.1491907016200006,0.005765104983858609
0.1,0.05,0.0,0.0,60,15,0.846865306267999,0.005741057921268195,0.15313469373200078,0.00574105792126818
0.1,0.05,0.0,0.0,60,16,0.842952314093999,0.005761586482474531,0.1570476859060009,0.0057615864824745264
0.1,0.05,0.0,0.0,60,17,0.838929322139999,0.0058518382062366205,0.1610706778600009,0.005851838206236637
0.1,0.05,0.0,0.0,60,18,0.8348963302059991,0.00589499689262452,0.16510366979400082,0.005894996892624508
0.1,0.05,0.0,0.0,60,19,0.8308883382219993,0.005897821794104181,0.1691116617780008,0.005897821794104154
0.1,0.05,0.0,0.0,60,20,0.826777346443999,0.005983093722660691,0.17322265355600094,0.005983093722660678
0.1,0.05,0.0,0.0,60,21,0.8227603544779992,0.005983085189873863,0.17723964552200075,0.005983085189873848
0.1,0.05,0.0,0.0,60,22,0.8186783626419993,0.005989868873108507,0.1813216373580007,0.005989868873108512
0.1,0.05,0.0,0.0,60,23,0.8144953710079992,0.005916105671313288,0.18550462899200074,0.0059161056713132815
0.1,0.05,0.0,0.0,60,24,0.8089133821719992,0.005486623888397531,0.1910866178280007,0.005486623888397524
0.1,0.05,0.0,0.0,60,25,0.8006063987859993,0.011923554342384936,0.1993936012140007,0.01192355434238495
0.1,0.05,0.0,0.0,60,26,0.7863304273379994,0.021349702991093004,0.2136695726620005,0.021349702991093
0.1,0.05,0.0,0.0,60,27,0.7676144647699993,0.02561975760555432,0.2323855352300007,0.025619757605554322
0.1,0.05,0.0,0.0,60,28,0.7445125109739995,0.01889406964742411,0.2554874890260005,0.018894069647424128
0.1,0.05,0.0,0.0,60,29,0.7294215411559998,0.011405750241928414,0.2705784588440002,0.011405750241928398
0.1,0.05,0.0,0.0,60,30,0.7253575492839996,0.011467312643533466,0.27464245071600024,0.011467312643533446
0.1,0.05,0.0,0.0,60,31,0.7225615548759997,0.011233832192482527,0.2774384451240003,0.0112338321924825
0.1,0.05,0.0,0.0,60,32,0.7199635600719998,0.010891861432647433,0.2800364399280002,0.010891861432647431
0.1,0.05,0.0,0.0,60,33,0.7175675648639998,0.010578100057897959,0.2824324351360002,0.010578100057897964
