tau,sigma,tau_after,sigma_after,switch_cycle,rho,gamma,delta,cycle,s1_mean,s1_std,s2_mean,s2_std
0.1,0.05,0.0,0.0,90,0.2,0.5,0.7,0,0.518027963944004,0.00038837776891308373,0.4819720360559959,0.00038837776891310476
0.1,0.05,0.0,0.0,90,0.2,0.5,0.7,1,0.5441789116420019,0.00037051667811663965,0.45582108835799795,0.00037051667811667223
0.1,0.05,0.0,0.0,90,0.2,0.5,0.7,2,0.6439937120120004,0.005106419583304992,0.3560062879879996,0.005106419583304979
0.1,0.05,0.0,0.0,90,0.2,0.5,0.7,3,0.7123625752739997,0.0031567360113278612,0.28763742472600023,0.003156736011327802
0.1,0.05,0.0,0.0,90,0.2,0.5,0.7,4,0.7574704850579994,0.002704513032386655,0.24252951494200053,0.002704513032386639
0.1,0.05,0.0,0.0,90,0.2,0.5,0.7,5,0.7891444217099993,0.0026079653602569144,0.2108555782900007,0.002607965360256921
0.1,0.05,0.0,0.0,90,0.2,0.5,0.7,6,0.8124923750139992,0.0026512091164246007,0.18750762498600076,0.00265120911642459
0.1,0.05,0.0,0.0,90,0.2,0.5,0.7,7,0.8303793392399992,0.0027114905711625933,0.16962066076000076,0.00271149057116255
0.1,0.05,0.0,0.0,90,0.2,0.5,0.7,8,0.8443273113439991,0.0025806956818006173,0.15567268865600076,0.0025806956818006555
0.1,0.05,0.0,0.0,90,0.2,0.5,0.7,9,0.8556452887079994,0.002524336241113387,0.14435471129200061,0.002524336241113372
0.1,0.05,0.0,0.0,90,0.2,0.5,0.7,10,0.8649672700639994,0.002455608636287446,0.1350327299360004,0.0024556086362874006
0.1,0.05,0.0,0.0,90,0.2,0.5,0.7,11,0.8720912558159997,0.0026327311536605462,0.12790874418400036,0.0026327311536605584
0.1,0.05,0.0,0.0,90,0.2,0.5,0.7,12,0.8727842544299996,0.006067759067166165,0.12721574557000043,0.00606775906716617
0.1,0.05,0.0,0.0,90,0.2,0.5,0.7,13,0.8691102617779995,0.00619082796600443,0.1308897382220005,0.006190827966004419
0.1,0.05,0.0,0.0,90,0.2,0.5,0.7,14,0.8654742690499996,0.00611787826753194,0.13452573095000048,0.006117878267531931
0.1,0.05,0.0,0.0,90,0.2,0.5,0.7,15,0.8617192765599995,0.006280718203932583,0.13828072344000053,0.006280718203932571
0.1,0.05,0.0,0.0,90,0.2,0.5,0.7,16,0.8579422841139996,0.006295162755227781,0.1420577158860004,0.006295162755227765
0.1,0.05,0.0,0.0,90,0.2,0.5,0.7,17,0.8539842920299995,0.006344340374410333,0.14601570797000046,0.006344340374410321
0.1,0.05,0.0,0.0,90,0.2,0.5,0.7,18,0.8501392997199995,0.006357302177018836,0.14986070028000056,0.006357302177018837
0.1,0.05,0.0,0.0,90,0.2,0.5,0.7,19,0.8461673076639992,0.006331886194988129,0.15383269233600083,0.006331886194988149
0.1,0.05,0.0,0.0,90,0.2,0.5,0.7,20,0.8421483157019992,0.006392174799329082,0.15785168429800084,0.0063921747993290895
0.1,0.05,0.0,0.0,90,0.2,0.5,0.7,21,0.8382033235919992,0.006366387886238122,0.1617966764080006,0.0063663878862381005
0.1,0.05,0.0,0.0,90,0.2,0.5,0.7,22,0.8341503316979992,0.0063745335918347626,0.16584966830200082,0.006374533591834748
0.1,0.05,0.0,0.0,90,0.2,0.5,0.7,23,0.829011341975999,0.005785554497701719,0.17098865802400096,0.005785554497701723
0.1,0.05,0.0,0.0,90,0.2,0.5,0.7,24,0.817748364501999,0.008457805312453255,0.18225163549800097,0.008457805312453257
0.1,0.05,0.0,0.0,90,0.2,0.5,0.7,25,0.7967794064399991,0.018869087140350325,0.20322059356000075,0.01886908714035032
0.1,0.05,0.0,0.0,90,0.2,0.5,0.7,26,0.7623894752199994,0.030218731554712445,0.23761052478000053,0.030218731554712434
0.1,0.05,0.0,0.0,90,0.2,0.5,0.7,27,0.7340065319859999,0.025927431855931785,0.2659934680140001,0.025927431855931788
0.1,0.05,0.0,0.0,90,0.2,0.5,0.7,28,0.7232185535619997,0.020957329831883358,0.27678144643800023,0.020957329831883347
