tau,sigma,tau_after,sigma_after,switch_cycle,rho,gamma,delta,cycle,s1_mean,s1_std,s2_mean,s2_std
0.1,0.05,0.0,0.0,90,0.1,0.5,0.5,0,0.518027963944004,0.00038837776891308373,0.4819720360559959,0.00038837776891310476
0.1,0.05,0.0,0.0,90,0.1,0.5,0.5,1,0.5389759220480033,0.0003564496231984755,0.4610240779519968,0.00035644962319846506
0.1,0.05,0.0,0.0,90,0.1,0.5,0.5,2,0.6408477183040004,0.0024612946913190057,0.35915228169599944,0.0024612946913190104
0.1,0.05,0.0,0.0,90,0.1,0.5,0.5,3,0.708412583174,0.003300578833343031,0.29158741682600003,0.0033005788333430462
0.1,0.05,0.0,0.0,90,0.1,0.5,0.5,4,0.7533494932999996,0.0034171049040109553,0.24665050670000038,0.0034171049040109635
0.1,0.05,0.0,0.0,90,0.1,0.5,0.5,5,0.7850294299399995,0.0034923576191337904,0.2149705700600005,0.0034923576191337484
0.1,0.05,0.0,0.0,90,0.1,0.5,0.5,6,0.8085093829799991,0.0033211123828719214,0.19149061702000084,0.003321112382871892
0.1,0.05,0.0,0.0,90,0.1,0.5,0.5,7,0.826611346775999,0.0032622393922123296,0.1733886532240009,0.0032622393922123087
0.1,0.05,0.0,0.0,90,0.1,0.5,0.5,8,0.840909318179999,0.003124481077393021,0.15909068182000083,0.0031244810773930357
0.1,0.05,0.0,0.0,90,0.1,0.5,0.5,9,0.8525212949559993,0.0030076116816348244,0.1474787050440006,0.0030076116816348517
0.1,0.05,0.0,0.0,90,0.1,0.5,0.5,10,0.8619442761099995,0.002867723055947248,0.13805572389000048,0.00286772305594724
0.1,0.05,0.0,0.0,90,0.1,0.5,0.5,11,0.8611712776559995,0.004807534456472685,0.13882872234400045,0.004807534456472695
0.1,0.05,0.0,0.0,90,0.1,0.5,0.5,12,0.8573932852119995,0.004758376321879242,0.14260671478800044,0.0047583763218792515
0.1,0.05,0.0,0.0,90,0.1,0.5,0.5,13,0.8536292927399994,0.004872933814977116,0.14637070726000045,0.0048729338149771295
0.1,0.05,0.0,0.0,90,0.1,0.5,0.5,14,0.8496803006379994,0.0049120954163901194,0.1503196993620006,0.004912095416390123
0.1,0.05,0.0,0.0,90,0.1,0.5,0.5,15,0.8458473083039992,0.0049504112402005175,0.15415269169600082,0.004950411240200515
0.1,0.05,0.0,0.0,90,0.1,0.5,0.5,16,0.8419743160499991,0.0049622895211696065,0.15802568395000083,0.004962289521169617
0.1,0.05,0.0,0.0,90,0.1,0.5,0.5,17,0.8380053239879992,0.005001333395788728,0.16199467601200077,0.005001333395788741
0.1,0.05,0.0,0.0,90,0.1,0.5,0.5,18,0.8340453319079992,0.005048871383370108,0.1659546680920007,0.0050488713833701055
0.1,0.05,0.0,0.0,90,0.1,0.5,0.5,19,0.8300543398899991,0.005035534638901555,0.16994566011000084,0.0050355346389015536
0.1,0.05,0.0,0.0,90,0.1,0.5,0.5,20,0.8260863478259992,0.005115539952820519,0.1739136521740008,0.005115539952820497
0.1,0.05,0.0,0.0,90,0.1,0.5,0.5,21,0.8221743556499991,0.00499843976277599,0.1778256443500008,0.004998439762776002
0.1,0.05,0.0,0.0,90,0.1,0.5,0.5,22,0.8181643636699991,0.0050546963998452125,0.18183563633000083,0.005054696399845206
0.1,0.05,0.0,0.0,90,0.1,0.5,0.5,23,0.8142033715919993,0.0050188117993593614,0.18579662840800068,0.00501881179935935
0.1,0.05,0.0,0.0,90,0.1,0.5,0.5,24,0.8100973798039993,0.004401086276848039,0.1899026201960007,0.00440108627684806
0.1,0.05,0.0,0.0,90,0.1,0.5,0.5,25,0.8047503904979992,0.005435468965506535,0.19524960950200076,0.005435468965506553
0.1,0.05,0.0,0.0,90,0.1,0.5,0.5,26,0.7958044083899993,0.013147193343587849,0.20419559161000067,0.01314719334358781
0.1,0.05,0.0,0.0,90,0.1,0.5,0.5,27,0.7771424457139994,0.02024815659033824,0.2228575542860006,0.02024815659033826
0.1,0.05,0.0,0.0,90,0.1,0.5,0.5,28,0.7545204909579993,0.018597682500661336,0.24547950904200064,0.018597682500661333
0.1,0.05,0.0,0.0,90,0.1,0.5,0.5,29,0.7347715304559994,0.01133684294712068,0.26522846954400053,0.01133684294712069
0.1,0.05,0.0,0.0,90,0.1,0.5,0.5,30,0.7253395493199996,0.014576111409753977,0.27466045068000045,0.014576111409753961
0.1,0.05,0.0,0.0,90,0.1,0.5,0.5,31,0.7222745554499999,0.01532718473450871,0.2777254445500001,0.01532718473450871
0.1,0.05,0.0,0.0,90,0.1,0.5,0.5,32,0.7199345601299999,0.014893799206434293,0.28006543987000004,0.014893799206434277
0.1,0.05,0.0,0.0,90,0.1,0.5,0.5,33,0.7177465645059998,0.01440970951775079,0.28225343549400017,0.014409709517750805
0.1,0.05,0.0,0.0,90,0.1,0.5,0.5,34,0.7156075687839998,0.013913938499012466,0.28439243121600016,0.013913938499012495
0.1,0.05,0.0,0.0,90,0.1,0.5,0.5,35,0.7135365729259997,0.013423472226209807,0.28646342707400035,0.013423472226209794
0.1,0.05,0.0,0.0,90,0.1,0.5,0.5,36,0.7114745770499995,0.013003299681316399,0.2885254229500004,0.01300329968131638
