run_id,seed,households,cycles,tau,sigma,switch_cycle,tau_after,sigma_after,post_window,tipping_point,s_base_mean,s_post_mean,H_delta,rho,gamma,delta
20251229-120624_seed1_N500_T130_tau0.1_sig0.05_sc90_tauA0.0_sigA0.0,1,500,130,0.1,0.05,90,0.0,0.0,20,3,0.5349199301600038,0.5379019241960032,0.0029819940359994135,0.7,0.5,0.5
20251229-120721_seed2_N500_T130_tau0.1_sig0.05_sc90_tauA0.0_sigA0.0,2,500,130,0.1,0.05,90,0.0,0.0,20,3,0.5344399311200043,0.5382759234480033,0.003835992327999027,0.7,0.5,0.5
20251229-120819_seed3_N500_T130_tau0.1_sig0.05_sc90_tauA0.0_sigA0.0,3,500,130,0.1,0.05,90,0.0,0.0,20,3,0.5347799304400046,0.5381119237760037,0.003331993335999095,0.7,0.5,0.5
20251229-120917_seed4_N500_T130_tau0.1_sig0.05_sc90_tauA0.0_sigA0.0,4,500,130,0.1,0.05,90,0.0,0.0,20,3,0.534899930200004,0.5345619308760041,-0.0003379993239999157,0.7,0.5,0.5
20251229-121014_seed5_N500_T130_tau0.1_sig0.05_sc90_tauA0.0_sigA0.0,5,500,130,0.1,0.05,90,0.0,0.0,20,3,0.534939930120004,0.5369599260800038,0.0020199959599997985,0.7,0.5,0.5
20251229-121112_seed6_N500_T130_tau0.1_sig0.05_sc90_tauA0.0_sigA0.0,6,500,130,0.1,0.05,90,0.0,0.0,20,3,0.5350199299600041,0.5261999476000035,-0.008819982360000589,0.7,0.5,0.5
20251229-121210_seed7_N500_T130_tau0.1_sig0.05_sc90_tauA0.0_sigA0.0,7,500,130,0.1,0.05,90,0.0,0.0,20,3,0.5347799304400034,0.5359649280700032,0.0011849976299997955,0.7,0.5,0.5
20251229-121307_seed8_N500_T130_tau0.1_sig0.05_sc90_tauA0.0_sigA0.0,8,500,130,0.1,0.05,90,0.0,0.0,20,3,0.535039929920004,0.5281489437020042,-0.006890986217999884,0.7,0.5,0.5
20251229-121405_seed9_N500_T130_tau0.1_sig0.05_sc90_tauA0.0_sigA0.0,9,500,130,0.1,0.05,90,0.0,0.0,20,3,0.5344399311200043,0.5374869250260035,0.0030469939059991624,0.7,0.5,0.5
20251229-121502_seed10_N500_T130_tau0.1_sig0.05_sc90_tauA0.0_sigA0.0,10,500,130,0.1,0.05,90,0.0,0.0,20,3,0.5357799284400035,0.5373729252540034,0.0015929968139998252,0.7,0.5,0.5
20251229-121600_seed11_N500_T130_tau0.1_sig0.05_sc90_tauA0.0_sigA0.0,11,500,130,0.1,0.05,90,0.0,0.0,20,3,0.535439929120004,0.5381889236220033,0.00274899450199928,0.7,0.5,0.5
20251229-121657_seed12_N500_T130_tau0.1_sig0.05_sc90_tauA0.0_sigA0.0,12,500,130,0.1,0.05,90,0.0,0.0,20,3,0.5352399295200032,0.5383419233160034,0.0031019937960001798,0.7,0.5,0.5
20251229-121755_seed13_N500_T130_tau0.1_sig0.05_sc90_tauA0.0_sigA0.0,13,500,130,0.1,0.05,90,0.0,0.0,20,3,0.5353199293600037,0.5384579230840034,0.003137993723999699,0.7,0.5,0.5
20251229-121853_seed14_N500_T130_tau0.1_sig0.05_sc90_tauA0.0_sigA0.0,14,500,130,0.1,0.05,90,0.0,0.0,20,3,0.5346399307200038,0.5347569304860036,0.00011699976599977013,0.7,0.5,0.5
20251229-121951_seed15_N500_T130_tau0.1_sig0.05_sc90_tauA0.0_sigA0.0,15,500,130,0.1,0.05,90,0.0,0.0,20,3,0.5349199301600043,0.514870970258003,-0.020048959902001284,0.7,0.5,0.5
20251229-122049_seed16_N500_T130_tau0.1_sig0.05_sc90_tauA0.0_sigA0.0,16,500,130,0.1,0.05,90,0.0,0.0,20,3,0.5344399311200034,0.5377379245240032,0.0032979934039997216,0.7,0.5,0.5
20251229-122146_seed17_N500_T130_tau0.1_sig0.05_sc90_tauA0.0_sigA0.0,17,500,130,0.1,0.05,90,0.0,0.0,20,2,0.534759930480004,0.5353399293200038,0.0005799988399998179,0.7,0.5,0.5
20251229-122244_seed18_N500_T130_tau0.1_sig0.05_sc90_tauA0.0_sigA0.0,18,500,130,0.1,0.05,90,0.0,0.0,20,3,0.533979932040004,0.5309249381500046,-0.0030549938899994133,0.7,0.5,0.5
20251229-122342_seed19_N500_T130_tau0.1_sig0.05_sc90_tauA0.0_sigA0.0,19,500,130,0.1,0.05,90,0.0,0.0,20,3,0.5345399309200036,0.5316709366580039,-0.0028689942619997133,0.7,0.5,0.5
20251229-122440_seed20_N500_T130_tau0.1_sig0.05_sc90_tauA0.0_sigA0.0,20,500,130,0.1,0.05,90,0.0,0.0,20,3,0.5349999300000043,0.5374949250100036,0.002494995009999279,0.7,0.5,0.5
