run_id,seed,households,cycles,tau,sigma,switch_cycle,tau_after,sigma_after,post_window,tipping_point,s_base_mean,s_post_mean,H_delta,rho,gamma,delta
20251230-114338_seed1_N500_T130_tau0.1_sig0.05_sc90_tauA0.0_sigA0.0,1,500,130,0.1,0.05,90,0.0,0.0,20,3,0.5349199301600038,0.5365219269560034,0.001601996795999594,0.2,0.5,0.5
20251230-114437_seed2_N500_T130_tau0.1_sig0.05_sc90_tauA0.0_sigA0.0,2,500,130,0.1,0.05,90,0.0,0.0,20,3,0.5344399311200043,0.5368369263260035,0.0023969952059992305,0.2,0.5,0.5
20251230-114536_seed3_N500_T130_tau0.1_sig0.05_sc90_tauA0.0_sigA0.0,3,500,130,0.1,0.05,90,0.0,0.0,20,3,0.5347799304400046,0.5329789340420037,-0.0018009963980009092,0.2,0.5,0.5
20251230-114634_seed4_N500_T130_tau0.1_sig0.05_sc90_tauA0.0_sigA0.0,4,500,130,0.1,0.05,90,0.0,0.0,20,3,0.534899930200004,0.5475659048680007,0.012665974667996682,0.2,0.5,0.5
20251230-114732_seed5_N500_T130_tau0.1_sig0.05_sc90_tauA0.0_sigA0.0,5,500,130,0.1,0.05,90,0.0,0.0,20,3,0.534939930120004,0.5266749466500041,-0.00826498346999982,0.2,0.5,0.5
20251230-114831_seed6_N500_T130_tau0.1_sig0.05_sc90_tauA0.0_sigA0.0,6,500,130,0.1,0.05,90,0.0,0.0,20,3,0.5350199299600041,0.533031933936004,-0.001987996024000127,0.2,0.5,0.5
20251230-114931_seed7_N500_T130_tau0.1_sig0.05_sc90_tauA0.0_sigA0.0,7,500,130,0.1,0.05,90,0.0,0.0,20,3,0.5347799304400034,0.5272069455860044,-0.007572984853998932,0.2,0.5,0.5
20251230-115030_seed8_N500_T130_tau0.1_sig0.05_sc90_tauA0.0_sigA0.0,8,500,130,0.1,0.05,90,0.0,0.0,20,3,0.535039929920004,0.5348789302420041,-0.0001609996779999845,0.2,0.5,0.5
20251230-115128_seed9_N500_T130_tau0.1_sig0.05_sc90_tauA0.0_sigA0.0,9,500,130,0.1,0.05,90,0.0,0.0,20,3,0.5344399311200043,0.536116927766004,0.0016769966459996288,0.2,0.5,0.5
20251230-115226_seed10_N500_T130_tau0.1_sig0.05_sc90_tauA0.0_sigA0.0,10,500,130,0.1,0.05,90,0.0,0.0,20,3,0.5357799284400035,0.5362009275980035,0.00042099915799997945,0.2,0.5,0.5
20251230-115326_seed11_N500_T130_tau0.1_sig0.05_sc90_tauA0.0_sigA0.0,11,500,130,0.1,0.05,90,0.0,0.0,20,3,0.535439929120004,0.5336019327960042,-0.0018379963239998354,0.2,0.5,0.5
20251230-115423_seed12_N500_T130_tau0.1_sig0.05_sc90_tauA0.0_sigA0.0,12,500,130,0.1,0.05,90,0.0,0.0,20,3,0.5352399295200032,0.5381039237920033,0.0028639942720001255,0.2,0.5,0.5
20251230-115522_seed13_N500_T130_tau0.1_sig0.05_sc90_tauA0.0_sigA0.0,13,500,130,0.1,0.05,90,0.0,0.0,20,3,0.5353199293600037,0.5381099237800033,0.0027899944199996085,0.2,0.5,0.5
20251230-115620_seed14_N500_T130_tau0.1_sig0.05_sc90_tauA0.0_sigA0.0,14,500,130,0.1,0.05,90,0.0,0.0,20,3,0.5346399307200038,0.5477719044559994,0.013131973735995617,0.2,0.5,0.5
20251230-115719_seed15_N500_T130_tau0.1_sig0.05_sc90_tauA0.0_sigA0.0,15,500,130,0.1,0.05,90,0.0,0.0,20,3,0.5349199301600043,0.5355479289040039,0.0006279987439996582,0.2,0.5,0.5
20251230-115821_seed16_N500_T130_tau0.1_sig0.05_sc90_tauA0.0_sigA0.0,16,500,130,0.1,0.05,90,0.0,0.0,20,3,0.5344399311200034,0.5334059331880042,-0.0010339979319992088,0.2,0.5,0.5
20251230-115927_seed17_N500_T130_tau0.1_sig0.05_sc90_tauA0.0_sigA0.0,17,500,130,0.1,0.05,90,0.0,0.0,20,3,0.534759930480004,0.5360429279140039,0.001282997433999844,0.2,0.5,0.5
20251230-120033_seed18_N500_T130_tau0.1_sig0.05_sc90_tauA0.0_sigA0.0,18,500,130,0.1,0.05,90,0.0,0.0,20,3,0.533979932040004,0.5246489507020042,-0.00933098133799981,0.2,0.5,0.5
20251230-120132_seed19_N500_T130_tau0.1_sig0.05_sc90_tauA0.0_sigA0.0,19,500,130,0.1,0.05,90,0.0,0.0,20,3,0.5345399309200036,0.5345039309920037,-3.599992799996343e-05,0.2,0.5,0.5
20251230-120231_seed20_N500_T130_tau0.1_sig0.05_sc90_tauA0.0_sigA0.0,20,500,130,0.1,0.05,90,0.0,0.0,20,3,0.5349999300000043,0.5323239353520044,-0.0026759946479999464,0.2,0.5,0.5
