tau,sigma,tau_after,sigma_after,switch_cycle,rho,gamma,delta,cycle,s1_mean,s1_std,s2_mean,s2_std
0.1,0.05,0.0,0.0,90,0.2,0.7,0.5,0,0.518027963944004,0.00038837776891308373,0.4819720360559959,0.00038837776891310476
0.1,0.05,0.0,0.0,90,0.2,0.7,0.5,1,0.5394029211940031,0.000376536097712371,0.4605970788059969,0.00037653609771238605
0.1,0.05,0.0,0.0,90,0.2,0.7,0.5,2,0.6417467165060006,0.002484814413821804,0.35825328349399943,0.002484814413821816
0.1,0.05,0.0,0.0,90,0.2,0.7,0.5,3,0.7105115789759999,0.0032519946612721536,0.2894884210240001,0.003251994661272121
0.1,0.05,0.0,0.0,90,0.2,0.7,0.5,4,0.7563364873259995,0.003435763324806615,0.2436635126740005,0.003435763324806616
0.1,0.05,0.0,0.0,90,0.2,0.7,0.5,5,0.7885004229979994,0.0034071094227972974,0.21149957700200064,0.0034071094227972987
0.1,0.05,0.0,0.0,90,0.2,0.7,0.5,6,0.8122873754239992,0.0032948532028407927,0.18771262457600077,0.003294853202840794
0.1,0.05,0.0,0.0,90,0.2,0.7,0.5,7,0.8304113391759993,0.0032056162805426626,0.1695886608240008,0.0032056162805426678
0.1,0.05,0.0,0.0,90,0.2,0.7,0.5,8,0.8446673106639991,0.0030366707806742553,0.1553326893360008,0.003036670780674272
0.1,0.05,0.0,0.0,90,0.2,0.7,0.5,9,0.8560962878059994,0.002938538517317241,0.14390371219400055,0.0029385385173172586
0.1,0.05,0.0,0.0,90,0.2,0.7,0.5,10,0.8653902692179996,0.0028323076915130717,0.1346097307820005,0.00283230769151307
0.1,0.05,0.0,0.0,90,0.2,0.7,0.5,11,0.8649512700959996,0.005128146897037394,0.13504872990400046,0.005128146897037395
0.1,0.05,0.0,0.0,90,0.2,0.7,0.5,12,0.8615022769939996,0.005191554739359597,0.13849772300600044,0.005191554739359598
0.1,0.05,0.0,0.0,90,0.2,0.7,0.5,13,0.8579372841239994,0.005280216308675593,0.14206271587600044,0.005280216308675588
0.1,0.05,0.0,0.0,90,0.2,0.7,0.5,14,0.8543812912359993,0.005318841236823426,0.1456187087640006,0.005318841236823432
0.1,0.05,0.0,0.0,90,0.2,0.7,0.5,15,0.8505192989599992,0.005351951061339854,0.14948070104000072,0.005351951061339845
0.1,0.05,0.0,0.0,90,0.2,0.7,0.5,16,0.8468583062819992,0.005414252886784684,0.15314169371800074,0.005414252886784667
0.1,0.05,0.0,0.0,90,0.2,0.7,0.5,17,0.8429833140319992,0.005394109207302984,0.15701668596800078,0.005394109207303011
0.1,0.05,0.0,0.0,90,0.2,0.7,0.5,18,0.8391293217399992,0.005463300195861648,0.16087067826000076,0.005463300195861644
0.1,0.05,0.0,0.0,90,0.2,0.7,0.5,19,0.8353143293699992,0.005503430500124709,0.16468567063000086,0.0055034305001246935
0.1,0.05,0.0,0.0,90,0.2,0.7,0.5,20,0.831295337407999,0.005508583607290228,0.1687046625920009,0.005508583607290244
0.1,0.05,0.0,0.0,90,0.2,0.7,0.5,21,0.8274483451019989,0.0055746815728522124,0.17255165489800092,0.005574681572852209
0.1,0.05,0.0,0.0,90,0.2,0.7,0.5,22,0.8234993529999992,0.005548970790635462,0.17650064700000084,0.0055489707906354645
0.1,0.05,0.0,0.0,90,0.2,0.7,0.5,23,0.8195923608139992,0.005613893595788893,0.18040763918600078,0.005613893595788879
0.1,0.05,0.0,0.0,90,0.2,0.7,0.5,24,0.8150943698099992,0.005895584692178224,0.18490563019000078,0.005895584692178218
0.1,0.05,0.0,0.0,90,0.2,0.7,0.5,25,0.8072663854659995,0.010131280428040752,0.19273361453400056,0.010131280428040734
0.1,0.05,0.0,0.0,90,0.2,0.7,0.5,26,0.7914234171519992,0.017998814959775216,0.2085765828480008,0.017998814959775226
0.1,0.05,0.0,0.0,90,0.2,0.7,0.5,27,0.7652414695159993,0.02275810804860683,0.2347585304840006,0.022758108048606857
0.1,0.05,0.0,0.0,90,0.2,0.7,0.5,28,0.7424815150359996,0.01690385661954234,0.2575184849640005,0.01690385661954235
0.1,0.05,0.0,0.0,90,0.2,0.7,0.5,29,0.7306975386039998,0.015611819740431186,0.26930246139600017,0.015611819740431231
