run_id,cycle,tau_t,sigma_t,switch_cycle,tau,sigma,tau_after,sigma_after,s1,s2,peer_signal,price_1,markup_1,unit_cost_1,quantity_1,profit_1,elasticity_1,price_2,markup_2,unit_cost_2,quantity_2,profit_2,elasticity_2
20251223-133333_seed1_N500_T100_tau0.1_sig0.05_sc60_tauA0.0_sigA0.0,0,0.1,0.05,60,0.1,0.05,0.0,0.0,0.5180599638800041,0.481940036119996,0.5180599638800041,1.0945,0.1,0.995,259.029981940002,,,1.1605,0.1,1.055,240.97001805999798,,
20251223-133333_seed1_N500_T100_tau0.1_sig0.05_sc60_tauA0.0_sigA0.0,1,0.1,0.05,60,0.1,0.05,0.0,0.0,0.5392199215600031,0.46078007843999697,0.5392199215600031,1.0966469777165424,0.10215776654928882,0.995,269.60996078000153,,7.9854192164129545,2.157474999999999,1.0449999999999993,1.055,230.39003921999847,,0.8386507851213406
20251223-133333_seed1_N500_T100_tau0.1_sig0.05_sc60_tauA0.0_sigA0.0,2,0.1,0.05,60,0.1,0.05,0.0,0.0,0.6416197167600004,0.3583802832399996,0.6416197167600004,1.0921331885175656,0.09762129499252818,0.995,320.8098583800002,,88.50180702329719,3.104601249999998,1.9427499999999984,1.055,179.1901416199998,,0.41602458901885486
20251223-133333_seed1_N500_T100_tau0.1_sig0.05_sc60_tauA0.0_sigA0.0,3,0.1,0.05,60,0.1,0.05,0.0,0.0,0.7102595794800004,0.2897404205199996,0.7102595794800004,1.0893827377826923,0.09485702289717844,0.995,355.1297897400002,,24.62064130323876,4.004371187499998,2.7956124999999976,1.055,144.8702102599998,,0.5883960855884832
20251223-133333_seed1_N500_T100_tau0.1_sig0.05_sc60_tauA0.0_sigA0.0,4,0.1,0.05,60,0.1,0.05,0.0,0.0,0.7556394887199989,0.2443605112800011,0.7556394887199989,1.0867758101497451,0.09223699512537216,0.995,377.81974435999945,,24.55353753623856,4.8591526281249955,3.6058318749999967,1.055,122.18025564000055,,0.671298441628191
20251223-133333_seed1_N500_T100_tau0.1_sig0.05_sc60_tauA0.0_sigA0.0,5,0.1,0.05,60,0.1,0.05,0.0,0.0,0.7880994237999999,0.21190057620000016,0.7880994237999999,1.0851926345489653,0.09064586386830684,0.995,394.0497118999999,,17.552353360032498,5.671194996718745,4.375540281249996,1.055,105.95028810000008,,0.737709791094072
20251223-133333_seed1_N500_T100_tau0.1_sig0.05_sc60_tauA0.0_sigA0.0,6,0.1,0.05,60,0.1,0.05,0.0,0.0,0.8120393759199992,0.1879606240800008,0.8120393759199992,1.0832309757608114,0.0886743474983029,0.995,406.0196879599996,,20.525325105602615,6.442635246882807,5.106763267187495,1.055,93.9803120400004,,0.7763866000281142
20251223-133333_seed1_N500_T100_tau0.1_sig0.05_sc60_tauA0.0_sigA0.0,7,0.1,0.05,60,0.1,0.05,0.0,0.0,0.8302593394799987,0.16974066052000125,0.8302593394799987,1.0832363314531868,0.08867973010370532,0.995,415.1296697399994,,12.263544462096831,7.175503484538666,5.8014251038281195,1.055,84.87033026000063,,0.7998456607504304
20251223-133333_seed1_N500_T100_tau0.1_sig0.05_sc60_tauA0.0_sigA0.0,8,0.1,0.05,60,0.1,0.05,0.0,0.0,0.8444993109999984,0.15550068900000155,0.8444993109999984,1.078838983462317,0.08426028488675089,0.995,422.2496554999992,,3439.4848994321583,7.871728310311732,6.461353848636713,1.055,77.75034450000078,,0.8135705521544474
20251223-133333_seed1_N500_T100_tau0.1_sig0.05_sc60_tauA0.0_sigA0.0,9,0.1,0.05,60,0.1,0.05,0.0,0.0,0.8559192881599994,0.14408071184000062,0.8559192881599994,1.096257798208976,0.10176663136580494,0.995,427.9596440799997,,3.3020935393439252,8.533141894796145,7.088286156204876,1.055,72.04035592000031,,0.8238677332450138
20251223-133333_seed1_N500_T100_tau0.1_sig0.05_sc60_tauA0.0_sigA0.0,10,0.1,0.05,60,0.1,0.05,0.0,0.0,0.8650392699199997,0.1349607300800003,0.8650392699199997,2.0364449082985265,1.046678299797514,0.995,432.51963495999985,,0.6617341424907056,9.161484800056336,7.683871848394631,1.055,67.48036504000015,,0.8106342525178438
20251223-133333_seed1_N500_T100_tau0.1_sig0.05_sc60_tauA0.0_sigA0.0,11,0.1,0.05,60,0.1,0.05,0.0,0.0,0.8616992765999987,0.1383007234000013,0.8616992765999987,2.9296226628835993,1.9443443848076374,0.995,430.84963829999936,,0.2,9.758410560053516,8.249678255974898,1.055,69.15036170000064,,0.3442008299484293
20251223-133333_seed1_N500_T100_tau0.1_sig0.05_sc60_tauA0.0_sigA0.0,12,0.1,0.05,60,0.1,0.05,0.0,0.0,0.8578792842399994,0.14212071576000063,0.8578792842399994,3.7781415297394183,2.7971271655672547,0.995,428.9396421199997,,0.2,10.32549003205084,8.787194343176152,1.055,71.06035788000031,,0.43176724207659106
20251223-133333_seed1_N500_T100_tau0.1_sig0.05_sc60_tauA0.0_sigA0.0,13,0.1,0.05,60,0.1,0.05,0.0,0.0,0.8538992921999994,0.1461007078000006,0.8538992921999994,4.584234453252447,3.607270807288891,0.995,426.9496460999997,,0.2,10.864215530448297,9.297834626017343,1.055,73.05035390000029,,0.4890576778398236
20251223-133333_seed1_N500_T100_tau0.1_sig0.05_sc60_tauA0.0_sigA0.0,14,0.1,0.05,60,0.1,0.05,0.0,0.0,0.8501392997199991,0.14986070028000087,0.8501392997199991,5.350022730589823,4.376907266924445,0.995,425.0696498599996,,0.2,11.376004753925882,9.782942894716475,1.055,74.93035014000043,,0.49969992234404953
