tau,sigma,tau_after,sigma_after,switch_cycle,rho,gamma,delta,cycle,s1_mean,s1_std,s2_mean,s2_std
0.1,0.05,0.0,0.0,90,0.3,0.5,0.5,0,0.518027963944004,0.00038837776891308373,0.4819720360559959,0.00038837776891310476
0.1,0.05,0.0,0.0,90,0.3,0.5,0.5,1,0.5394429211140032,0.00037843230055256726,0.46055707888599684,0.0003784323005525659
0.1,0.05,0.0,0.0,90,0.3,0.5,0.5,2,0.6417817164360005,0.0025040792345712177,0.35821828356399943,0.0025040792345712042
0.1,0.05,0.0,0.0,90,0.3,0.5,0.5,3,0.710586578826,0.0032637354321303122,0.28941342117400004,0.003263735432130307
0.1,0.05,0.0,0.0,90,0.3,0.5,0.5,4,0.7563394873199994,0.003441235243321819,0.2436605126800005,0.0034412352433218192
0.1,0.05,0.0,0.0,90,0.3,0.5,0.5,5,0.7883214233559993,0.0034222909369049496,0.21167857664400064,0.003422290936904975
0.1,0.05,0.0,0.0,90,0.3,0.5,0.5,6,0.8119063761859993,0.003311264559663124,0.18809362381400072,0.0033112645596631313
0.1,0.05,0.0,0.0,90,0.3,0.5,0.5,7,0.8298373403239993,0.003204818242751011,0.17016265967600078,0.0032048182427509863
0.1,0.05,0.0,0.0,90,0.3,0.5,0.5,8,0.843913312171999,0.0030572516867105166,0.15608668782800086,0.003057251686710504
0.1,0.05,0.0,0.0,90,0.3,0.5,0.5,9,0.8552122895739993,0.0028715482099396887,0.1447877104260006,0.0028715482099397048
0.1,0.05,0.0,0.0,90,0.3,0.5,0.5,10,0.8643602712779996,0.002830597584895245,0.13563972872200042,0.002830597584895229
0.1,0.05,0.0,0.0,90,0.3,0.5,0.5,11,0.8651392697199997,0.005532187508740791,0.13486073028000037,0.005532187508740762
0.1,0.05,0.0,0.0,90,0.3,0.5,0.5,12,0.8614142771699995,0.005668356570946527,0.13858572283000042,0.00566835657094652
0.1,0.05,0.0,0.0,90,0.3,0.5,0.5,13,0.8575852848279995,0.005663720378938961,0.1424147151720005,0.0056637203789389814
0.1,0.05,0.0,0.0,90,0.3,0.5,0.5,14,0.8536732926519994,0.005780602501946221,0.14632670734800057,0.005780602501946216
0.1,0.05,0.0,0.0,90,0.3,0.5,0.5,15,0.8496943006099993,0.0058636313831286705,0.15030569939000063,0.0058636313831286644
0.1,0.05,0.0,0.0,90,0.3,0.5,0.5,16,0.8456923086139992,0.005846283670601514,0.1543076913860007,0.005846283670601518
0.1,0.05,0.0,0.0,90,0.3,0.5,0.5,17,0.8415153169679993,0.005956580542591466,0.15848468303200075,0.005956580542591451
0.1,0.05,0.0,0.0,90,0.3,0.5,0.5,18,0.8374883250219991,0.005987422147393341,0.16251167497800087,0.005987422147393357
0.1,0.05,0.0,0.0,90,0.3,0.5,0.5,19,0.833374333249999,0.00600334801737899,0.16662566675000096,0.006003348017378989
