run_id,cycle,tau_t,sigma_t,switch_cycle,tau,sigma,tau_after,sigma_after,s1,s2,peer_signal,price_1,markup_1,unit_cost_1,quantity_1,profit_1,elasticity_1,price_2,markup_2,unit_cost_2,quantity_2,profit_2,elasticity_2
20251223-171654_seed7_N500_T100_tau0.1_sig0.05_sc90_tauA0.0_sigA0.0,0,0.1,0.05,90,0.1,0.05,0.0,0.0,0.5177599644800039,0.482240035519996,0.5177599644800039,1.0945,0.1,0.995,258.879982240002,,,1.1605,0.1,1.055,241.120017759998,,
20251223-171654_seed7_N500_T100_tau0.1_sig0.05_sc90_tauA0.0_sigA0.0,1,0.1,0.05,90,0.1,0.05,0.0,0.0,0.5385599228800029,0.4614400771199971,0.5385599228800029,1.096780681995504,0.10229214270904928,0.995,269.27996144000144,,7.856695212225052,2.157474999999999,1.0449999999999993,1.055,230.72003855999856,,0.8235439865975052
20251223-171654_seed7_N500_T100_tau0.1_sig0.05_sc90_tauA0.0_sigA0.0,2,0.1,0.05,90,0.1,0.05,0.0,0.0,0.6389797220400006,0.36102027795999936,0.6389797220400006,1.092306327766219,0.09779530428765729,0.995,319.4898610200003,,81.93643925630315,3.104601249999998,1.9427499999999984,1.055,180.51013897999968,,0.4063434062368589
20251223-171654_seed7_N500_T100_tau0.1_sig0.05_sc90_tauA0.0_sigA0.0,3,0.1,0.05,90,0.1,0.05,0.0,0.0,0.7072195855600004,0.29278041443999964,0.7072195855600004,1.089531298532271,0.09500633018318701,0.995,353.6097927800002,,24.800557687089878,4.004371187499998,2.7956124999999976,1.055,146.3902072199998,,0.5798852162764941
20251223-171654_seed7_N500_T100_tau0.1_sig0.05_sc90_tauA0.0_sigA0.0,4,0.1,0.05,90,0.1,0.05,0.0,0.0,0.7528794942399994,0.24712050576000058,0.7528794942399994,1.0869139360080937,0.09237581508351127,0.995,376.4397471199997,,24.58711517801088,4.8591526281249955,3.6058318749999967,1.055,123.56025288000029,,0.6681843854805938
20251223-171654_seed7_N500_T100_tau0.1_sig0.05_sc90_tauA0.0_sigA0.0,5,0.1,0.05,90,0.1,0.05,0.0,0.0,0.7849994299999997,0.21500057000000028,0.7849994299999997,1.0853578061513398,0.0908118654787336,0.995,392.49971499999987,,17.367463169027577,5.671194996718745,4.375540281249996,1.055,107.50028500000013,,0.7207260579269201
20251223-171654_seed7_N500_T100_tau0.1_sig0.05_sc90_tauA0.0_sigA0.0,6,0.1,0.05,90,0.1,0.05,0.0,0.0,0.8086993825999989,0.1913006174000011,0.8086993825999989,1.0833577368312155,0.08880174555901071,0.995,404.34969129999945,,20.759148981647545,6.442635246882807,5.106763267187495,1.055,95.65030870000055,,0.7564206994669458
20251223-171654_seed7_N500_T100_tau0.1_sig0.05_sc90_tauA0.0_sigA0.0,7,0.1,0.05,90,0.1,0.05,0.0,0.0,0.8268993461999987,0.17310065380000128,0.8268993461999987,1.0834357384439912,0.08888013913968956,0.995,413.44967309999936,,12.065665998011275,7.175503484538666,5.8014251038281195,1.055,86.55032690000064,,0.7842776247956668
20251223-171654_seed7_N500_T100_tau0.1_sig0.05_sc90_tauA0.0_sigA0.0,8,0.1,0.05,90,0.1,0.05,0.0,0.0,0.8411593176799993,0.15884068232000073,0.8411593176799993,1.0792243315260264,0.08464756937289082,0.995,420.57965883999964,,237.47684665161432,7.871728310311732,6.461353848636713,1.055,79.42034116000036,,0.7982688331370706
20251223-171654_seed7_N500_T100_tau0.1_sig0.05_sc90_tauA0.0_sigA0.0,9,0.1,0.05,90,0.1,0.05,0.0,0.0,0.8528992941999997,0.14710070580000034,0.8528992941999997,1.0944560547289406,0.09995583389843277,0.995,426.4496470999998,,3.5587694332717406,8.533141894796145,7.088286156204876,1.055,73.55035290000018,,0.829346662757816
20251223-171654_seed7_N500_T100_tau0.1_sig0.05_sc90_tauA0.0_sigA0.0,10,0.1,0.05,90,0.1,0.05,0.0,0.0,0.8622192755599994,0.13778072444000053,0.8622192755599994,2.0347332519924928,1.0449580422035103,0.995,431.10963777999973,,0.7754745373325627,9.161484800056336,7.683871848394631,1.055,68.89036222000027,,0.8114291229510483
20251223-171654_seed7_N500_T100_tau0.1_sig0.05_sc90_tauA0.0_sigA0.0,11,0.1,0.05,90,0.1,0.05,0.0,0.0,0.8586592826799997,0.14134071732000028,0.8586592826799997,2.927996589392867,1.9427101400933338,0.995,429.32964133999985,,0.2,9.758410560053516,8.249678255974898,1.055,70.67035866000015,,0.35917046640774264
20251223-171654_seed7_N500_T100_tau0.1_sig0.05_sc90_tauA0.0_sigA0.0,12,0.1,0.05,90,0.1,0.05,0.0,0.0,0.8545592908799999,0.14544070912000007,0.8545592908799999,3.7765967599232226,2.795574633088666,0.995,427.27964543999997,,0.2,10.32549003205084,8.787194343176152,1.055,72.72035456000003,,0.45313788851490033
20251223-171654_seed7_N500_T100_tau0.1_sig0.05_sc90_tauA0.0_sigA0.0,13,0.1,0.05,90,0.1,0.05,0.0,0.0,0.8512392975199996,0.14876070248000042,0.8512392975199996,4.582766921927061,3.6057959014342322,0.995,425.6196487599998,,0.2,10.864215530448297,9.297834626017343,1.055,74.38035124000021,,0.39966544395793985
20251223-171654_seed7_N500_T100_tau0.1_sig0.05_sc90_tauA0.0_sigA0.0,14,0.1,0.05,90,0.1,0.05,0.0,0.0,0.8470393059199993,0.15296069408000074,0.8470393059199993,5.348628575830706,4.375506106362519,0.995,423.51965295999963,,0.2,11.376004753925882,9.782942894716475,1.055,76.48034704000037,,0.5475196409406796
